,negativo
395,"algunos puertos USB serían una adición conveniente, junto con un par de ganchos para chaquetas para aquellos de nosotros que visitamos desde climas más fríos. Nunca entendí del todo el diseño de la pared de vidrio entre el dormitorio y el baño. Está bien si estás solo, pero especialmente de noche, el ruido y la luz que entran en el dormitorio no son prácticos."
396,"Los botones de las persianas de mi habitación no funcionaban, así que tuve que dormir con las luces de la ciudad brillando. El personal de recepción no fue amable en el momento del registro. Llegué temprano y tuve que esperar mucho tiempo para conseguir una habitación. Entiendo que esta es la política, pero podrían haber sido un poco más comprensivos, ¿tal vez ofrecer una bebida de cortesía, etc.? Al hacer el registro de salida, la recepcionista no me preguntó cómo fue mi estancia o si necesitaba un taxi o dejar el equipaje, etc., simplemente te marchaste, adiós... no fue una gran impresión final. En general, no parecía un 4 estrellas, sino más bien un 3 estrellas."
397,sin quejas
398,"El bar de la azotea estaba muy ocupado y tuvimos que esperar en una cola durante bastante tiempo ambas noches para acceder al área del bar antes de poder pedir una bebida. Me hubiera encantado poder tomar una copa o un café en el vestíbulo, pero no hay nada disponible allí. Un punto menor: los ascensores eran muy lentos a veces."
401,un poco alejado del centro tradicional de la ciudad
403,algo de ruido de las otras habitaciones
404,Sería bueno tener más ganchos para toallas en el baño. Lo más extraño fue la reproducción de música de Star Wars cada pocas horas desde algún lugar fuera de la propiedad. el hotel no pudo resolverlo. que extraño.
406,"Un poco de paseo hasta la playa o el casco antiguo, pero el taxi era razonable."
408,a poca distancia del metro.
410,nada
411,"La piscina era un poco pequeña y estaba llena, no pudimos usarla."
412,El restaurante no estaba abierto el domingo por la noche por alguna razón...
413,el desayuno estaba frio
414,"la piscina era pequeña y no terminamos usándola porque estaba bastante ocupada; Tampoco nos dieron ninguna información e inicialmente asumimos que estaba cerrado, pero lo encontramos después de uno o dos días. Si bien las vistas desde el bar son excelentes, las bebidas son más caras en comparación con los numerosos bares y restaurantes de los alrededores."
415,nada
416,ya
418,
419,nada que no me guste
421,the service is fantástica
424,¡La piscina fue decepcionante aunque hubo advertencias sobre su tamaño!
425,n / A
426,"Hay una guardería detrás del hotel, así que si tu habitación da a esa parte, oirás algunos ruidos si hay clases."
430,"faltaba cóctel en el bar de la azotea, la piscina era del tamaño de un jacuzzi"
431,la condición física podría ser mejor
433,recordatorios constantes para pagar por adelantado.
436,"Debido al poco espacio en el armario, sin saber cómo operar de forma segura en la habitación, nadie vino a ayudar."
437,nada
438,"Nuestra ventana no se cerró correctamente para que pudiéramos escuchar el tráfico afuera. El aire acondicionado no parecía enfriar mucho la habitación, pero es posible que no estuviera al máximo ya que era fuera de temporada."
439,everything was great cara sonriendo con ojos grandes
440,las colas para los ascensores y la puerta corredera de la habitación.
441,ver a través de las paredes del baño
442,"Aunque había muchas opciones para el desayuno, no estaba seguro de la calidad. la fruta fresca era excelente, pero me decepcionó encontrar los pasteles rancios y el panqueque masticable."
444,"Los cócteles en la azotea son caros, pero la vista desde allí es asombrosa. La piscina en la azotea estaba cerrada. Los ascensores son bastante lentos."
445,"Tener pantuflas en la habitación sería un buen toque, pero eso es sólo un pequeño detalle. Esos típicos hoteles que robas cada vez no ocupan espacio ni peso en tu equipaje, solo desearía traerlos conmigo. :d"
446,"Televisión con más de sesenta canales, ninguno de ellos estaba en inglés."
447,No hay bar para tomar una copa para hablar.
448,Aparcamiento difícil para aparcar un coche grande.
449,La cortina estaba un poco dañada.
450,la ubicación era genial.
452,absolutamente nada. Probablemente el mejor hotel en el que me he alojado en Valencia y me he alojado en unos cuantos.
455,"Como está en una rotonda muy transitada, podíamos escuchar el tráfico pero aún así dormimos bien."
458,No se me ocurre nada.
459,"El colchón es un poco duro para mi cuerpo, pero no hay nada que me moleste."
460,la piscina estaba cerrada
461,El área de la piscina era un poco más pequeña de lo esperado.
463,"La habitación era cómoda y estaba bien equipada con minibar, cafetera y caja fuerte, pero el diseño es ridículo. entras a la habitación por el baño sin privacidad alguna. el aseo tiene puerta de cristal pero el baño está completamente abierto a la entrada. Curiosamente, hay dos grandes puertas corredizas para separar el baño del dormitorio si lo desea, pero una ventana de vidrio significa que la luz del baño puede molestar a alguien que duerme en el dormitorio. El plan abierto puede hacer que el baño parezca más grande, pero el diseño es completamente disfuncional."
464,"no hay puerta del baño, solo un separador de ambientes. no es bueno para la privacidad. ¡Wc separado pero puerta transparente! arreglo extraño?"
469,"Sólo pequeñas críticas, los ascensores tardaron en llegar. Y pensábamos que el desayuno estaba incluido en el precio, pero no fue así. Probablemente sea culpa nuestra o un malentendido."
470,"La azotea podría mejorar, por ejemplo, césped sintético, ventiladores. El gimnasio no tiene el equipo adecuado y huele a goma. Insalubre. Pequeño incidente con la recepcionista al hacer el check out."
471,"El gimnasio no tiene ventilación y fuerte olor a goma, solo cuenta con equipamiento básico. La terraza de la azotea podría mejorar, p. césped sintético, falta de ventiladores pequeño incidente durante el check out probable falta de capacitación de la recepcionista"
473,El aparcamiento es estrecho para coches más grandes.
474,nada
475,La piscina de la azotea es un poco pequeña para llamarla piscina. es más bien una piscina profunda.
477,"La piscina es muy pequeña y no se puede nadar en ella; es poco profunda y se siente apretada con más de 2 parejas. Algunos niños vinieron el último día y no era adecuado para ellos. la azotea era un poco pequeña para las tumbonas y le vendrían bien sombrillas ya que el sol es fuerte allí arriba. La limpieza de los lavabos durante la estancia podría haber sido mejor, pero no fue una gran queja, ya que tuvieron que limpiar todas nuestras cosas."
478,"Nada, todo fue perfecto."
479,La piscina de la azotea es ideal para quienes usan el bar de la azotea; no es adecuada para familias mientras estuvimos allí en agosto.
481,"La piscina es pequeña y no muy apta para niños. En general, se necesita más mantenimiento."
483,No hay muchas comodidades complementarias en la habitación.
484,central para toda la ciudad
485,"un poco caro en mi opinión. Sin embargo, lo recomendaría a cualquiera que visite Valencia:"
486,tamaño de la piscina demasiado pequeña
487,"Podrían darnos una pequeña botella de agua todos los días, no solo una vez cuando nos registramos, porque no hay una máquina expendedora o algo en el piso para comprar agua y no hay ninguna tienda muy cerca. La ducha y el inodoro no están muy bien separados de la habitación, hay una puerta corredera y transparente, por lo que si no viajas con una familia, yo estaba con mi colega, no es muy conveniente. La ducha está ubicada de manera que quien entre a la habitación desde el exterior lo verá duchándose. Los ascensores son lentos y siempre se tarda mucho en esperar el ascensor."
488,ubicación
489,"El bar de la azotea tiene vistas fabulosas y no hay un costo mínimo de pedido para los huéspedes del hotel, pero tenga cuidado, en ciertos días cierra temprano para España: las 10 p. m. la noche que elegimos visitar. Después de esperar a que nos tomaran y nos sirvieran el pedido, no teníamos prisa, nos dijeron que teníamos 15 minutos antes de que cerrara el bar y no, no podíamos llevarnos los vasos: ¡nuestros g ts tuvieron que ponerse en vasos de plástico! No fue el final glamoroso del día que habíamos anticipado mientras bebíamos esto en el vestíbulo. Si tienes el sueño ligero, asegúrate de pedir una habitación en un piso más alto, ya que la rotonda exterior está muy concurrida y las ventanas no mantienen todo afuera. Si bien era un placer tener sábanas y toallas limpias todos los días, en realidad no era necesario y con todas las preocupaciones ambientales sobre el impacto del turismo, parecía que éramos parte del problema, pero no por elección propia. Sólo 2 de 3 ascensores funcionaron durante nuestra estancia."
492,El aparcamiento debajo del hotel era un poco estrecho.
493,"Si bien la piscina era acogedora, se hubiera agradecido un tamaño más grande. Además, la reserva previa podría haber simplificado aún más nuestra experiencia y aumentado la comodidad general."
494,"una zona bastante cara. Le vendría bien una alfombra en la ducha, ya que es muy resbaladiza para salir."
496,nada - todo fue genial
497,Ojalá la piscina estuviera abierta.
498,"No estuve en el hotel porque prefería comer fuera y salir al aire libre. Utilicé el bar de la terraza, pero no lo consideré una gran experiencia, principalmente debido a que tenía una máquina de pago en la cara cuando pedí bebidas. Podría haber hablado, pero el personal no parecía preocupado si yo me quedaba o alguien más. Al salir del hotel, le vendría bien una sonrisa y gracias por quedarse o espero volver a verlo, todo lo que obtuve fue nada que pagar. las cosas pequeñas importan."
501,esmalte de baño que se desprende
503,nos gustó todo
504,"Había una chica muy grosera en la recepción, solo una chica grosera y todos los demás estaban bien, pero desafortunadamente los 19 fuimos recibidos por la grosera. Es una pena que el bar de la azotea no permaneciera abierto hasta tarde, es increíble."
506,"Desafortunadamente, la piscina no estaba en uso, a pesar de que la temperatura era de 24 grados el sábado."
508,"Mal aislamiento acústico, especialmente entre la habitación y el pasillo."
509,"No me gusta el desayuno, no hay mucha variedad."
510,"El horario de trabajo del restaurante es un poco restrictivo, comienzan a las 8 p.m. para la cena y tuvimos algunos problemas para acomodar y atender las necesidades de nuestra hija."
511,ascensores
512,nada
513,el estacionamiento es de alto valor
514,El bar de la azotea no servía ningún tipo de comida. las bebidas eran muy caras. la vista del parque era la mejor.
515,nada.
516,poco
517,No puedo pensar en nada.
518,el check-in fue un poco lento
519,la vista y el hotel
521,"No hay enchufe eléctrico en el área del baño ni espejo al lado del escritorio para permitir secar el cabello, etc."
522,"El gimnasio era un poco pequeño y claustrofóbico, tal vez, pero con una buena selección de pesas. después de todo, en realidad era tal vez mejor que el gimnasio promedio de un hotel de cuatro estrellas..."
525,nada
526,la hora de entrada es demasiado tarde
527,nada.
529,nada en absoluto.
531,Pensamos que el desayuno era muy caro incluso si se reservaba con antelación. Hay un par de cafeterías en la misma calle que tienen una relación calidad-precio mucho mejor.
532,El personal fue en general servicial. Mal servicio en el bar de la azotea: esperó 20 minutos y no hubo bebidas ni bienvenida.
533,nada
534,olor en toda la propiedad
535,gimnasia
536,"La puerta del estacionamiento al hotel no funcionaba, por lo que estuvimos atrapados allí por un tiempo hasta que el personal la abrió."
538,"Tuvimos que esperar 20 minutos para que nos enviaran el gorro de ducha a nuestra habitación, pero solo un pequeño inconveniente."
539,"durante la primera noche el teléfono de la ducha estaba goteando, pero lo informé y lo arreglaron o cambiaron al día siguiente. Había ruido desde la plaza donde está ubicado el hotel, pero con tapones para los oídos se eliminó el ruido. Además, el personal de la recepción no fue flexible ya que no pude recibir una factura por el servicio de habitaciones antes de salir. Al menos logré pagar, para no tener que esperar al día siguiente para realizar el check out."
540,"el baño al lado del restaurante a menudo estaba sucio. En las habitaciones, el espacio abierto entre el baño y el aseo resulta incómodo cuando una familia o una pareja no ocupa la habitación."
542,El baño con ducha necesitaba una reforma. El ruido de la carretera puede ser un poco fuerte los fines de semana.
543,no tengo quejas.
544,nada que señalar
546,todo fue genial
547,"Nada, para ser honesto, lo único que tal vez hayan ampliado un poco la descripción de una piscina en la azotea: es un baño extra grande, para ser honesto, es bueno, pero no es una piscina."
548,nada realmente! Lo único menor fue que la limpieza de la habitación no siempre fue increíble: nuestra estación de té y café no se reponía y las tazas de café no se reemplazaban todos los días.
549,La administración podría hacer un mejor trabajo con el piso. Acabado con aspecto de madera barato. También hay un ligero olor.
550,nada
551,las camas eran estupendas y el desayuno era increíble! pero la piscina y el gimnasio fueron una decepción. El equipo del gimnasio era peligroso y estaba roto.
552,nada
553,"No había suficientes cosas para preparar té, el personal del bar de la azotea 270 estaba un poco de mal humor y no era muy servicial."
554,el gimnasio podría haber sido más grande
555,un poco ruidoso a veces con los asistentes a la fiesta que regresan si tiene una habitación en la parte delantera del hotel.
557,"El hotel estaba más ocupado de lo habitual porque era fin de semana, por lo que el tiempo de espera para los ascensores fue un poco más largo que antes, pero esto no fue un problema."
558,"La piscina sabíamos que sería pequeña, pero las fotos hacen que parezca más grande de lo que es. es diminuto. Los ascensores son los más lentos. Algunos miembros del personal de recepción fueron un poco inútiles y groseros con otros huéspedes a nuestra llegada. El wifi no es genial."
559,La distribución entre el dormitorio y el baño es un poco extraña. Sólo hay una puerta corredera y vidrio esmerilado que no permite mucha privacidad.
560,"El check-in en línea no funcionó, pero el check-in normal fue rápido y fácil. El check-out tomó más tiempo del que nos hubiera gustado y solo hubo una recepcionista durante parte del tiempo. era hora pico para pagar"
561,"La piscina no era tan grande como en las fotos, muy engañosa. Además, no había zona de sombra si quieres sentarte alrededor de la piscina."
562,nada
563,"La piscina es muy pequeña, aunque adecuada para refrescarse después de un día caluroso. Descubrimos que el personal era casi reacio a ayudar con la reserva de excursiones y nos dijeron que era mejor llegar en transporte público a las cuevas de San José y simplemente presentarnos en el acuario durante la temporada de verano de gran afluencia de gente. Finalmente reservaron el acuario y el museo de ciencias para nosotros, pero como resultado de un mal consejo, perdimos las entradas para entrar a las cuevas de San José."
564,tal vez un poco caro
566,absolutamente nada
567,No había muchas opciones para el desayuno y la comida caliente estaba un poco fría. La piscina es bastante pequeña para la cantidad de gente.
568,"nada, ¡fue una estancia estupenda en general!"
569,"Faltaba el gimnasio, el aire acondicionado no funcionaba muy bien allí. la cinta de correr estaba rota. Me hubiera gustado que me dieran un poco de agua embotellada en mi habitación."
570,la ducha de la bañera necesitaba algo para evitar resbalones cuando estaba mojado.
571,La piscina era muy pequeña y estaba muy ocupada. No pude ir con los niños.
572,todo fue perfecto
573,No me gustó el área de la piscina. La piscina era muy pequeña y tenía muy pocas tumbonas.
575,El difusor de aire era extremadamente fuerte.
576,"nada, todo fue increible"
577,No me gustó el cristal esmerilado del baño. Difícil entrada y salida de la bañera para personas mayores de baja estatura. el agua de la ducha pasó de la temperatura adecuada a fría.
578,nada
579,Había un olor proveniente de las tuberías del baño y uno de los lavabos tenía una fuga.
580,¡No hay sugerencias para mejorarlo! disfruté todo
581,El aparcamiento no está incluido en el precio de la habitación.
582,"El refrigerador de la habitación podría ser un poco más potente, ya que parece que estaba solo un par de grados más abajo en el interior que en la habitación."
583,b un
585,¡Solo la piscina para ser honesto!
586,no hay nada que no me haya gustado. fue perfecto
587,¡nada! fue increíble.
588,¡La vista desde la habitación daba a una escuela! ¡Mínimo de 10 por cada gasto en el bar de la azotea! ¡el desayuno era muy caro! ¡La piscina no estaba abierta mientras estuvimos allí!
589,todo fue genial. no tengo quejas.
590,nada todo era bueno
591,nada
592,"Habría preferido una ducha en lugar de una ducha sobre la bañera, ya que mi marido y yo tenemos artritis. Tampoco me gustó la puerta de cristal del baño."
595,El personal del desayuno muy grosero y el costo del desayuno.
596,el late check out que se solicitó durante el check-in no fue informado o no fue actualizado por lo que el proceso de check-out tuvo cierta confusión.
597,"un poco lejos del centro a 30-40 minutos, y Valencia no tiene buenas conexiones de transporte. pero el paseo hasta la ciudad es encantador: toma el camino desde el antiguo cauce del río y el tiempo volará"
598,El agua de la ducha no tenía mucha presión.
599,"Durante las horas de la tarde, las habitaciones que daban a la calle eran muy ruidosas. El tráfico y las motos eran horribles, no había manera de tomar una siesta. Las ventanas deben estar insonorizadas para esas habitaciones."
600,"La cama era demasiado dura, pero esa es sólo mi opinión. El verdadero problema era la fluctuación de la temperatura del agua. un minuto bien, luego asar caliente y luego enfriar. pero este era el único problema real"
601,nada
602,servicio de bar muy lento. secador de pelo no funciona
603,"Problemas con el agua caliente en nuestra ducha. Repararon el problema lo antes posible, pero tuvimos otro problema en momentos de agua tibia. No nos quedamos el tiempo suficiente para mencionarlo nuevamente. Repararon el problema principal muy rápido. Totalmente impresionado a pesar del problema. ¡Recomendaría quedarse allí!"
605,la piscina era extremadamente pequeña
606,A 25 minutos en autobús del centro de la ciudad.
607,piscina y terraza demasiado pequeñas
608,"El olor a productos de limpieza o desodorante es insoportable, tenía que mantener la ventana abierta todo el tiempo. Pedí una factura, me dijeron que me la enviarían por correo en un par de horas, pero no..."
609,"No había escobilla de baño en el baño y no podían proporcionárnosla. El baño tenía una puerta de cristal, por lo que había poca privacidad. No hay mini nevera en la habitación. mala insonorización"
610,"El aire acondicionado no funcionaba, tuvimos que abrir la ventana para mantenernos frescos, lo que significaba muchos ruidos fuertes entre la medianoche y las 4 de la mañana. Pedimos el desayuno ad hoc, que se explicó claramente a la llegada. sin embargo, cuando nos acercamos a la recepción por la mañana como nos aconsejaron, nos dijeron que teníamos que pagar el total al ingresar. esto fue contrario al consejo dado a la llegada. El personal dijo que esta vez lo renunciarían, lo que indicaba que no sabían de qué estaban hablando o... lo sabían y querían euros extra de su invitado.  Si es esto último, entonces es preocupante.  En última instancia, es información contradictoria y espero que la gerencia pueda brindarle a su personal toda la información consistente sobre los precios del desayuno."
611,El menú del restaurante necesita mejoras.
612,"Como encima de un bar nuestro menú lounge para bebidas calientes y comidas ligeras. Podría haber dos sillones en la habitación, especialmente porque las habitaciones del hotel no tienen balcón ni muebles."
613,"Dado que el hotel está lejos del centro de la ciudad, la plaza de aparcamiento se habría proporcionado gratuitamente al cliente del hotel. cobra demasiado. Me quedaría en otro lugar con estacionamiento gratuito, o en el centro de la ciudad, jeje, pagas la misma tarifa de estacionamiento pero evitas tomar otros autobuses o ubers."
614,nada
615,"Los ascensores del hotel eran muy pequeños, pero eso es un problema en toda España."
616,Estacionar demasiado apretado
617,"La ventana de nuestra habitación no aislaba bien de los sonidos de la calle. No es un gran problema, pero definitivamente notas el tráfico por la noche."
618,Tengo una necesidad especial de la almohada de la cama. las almohadas no eran buenas. Necesito una almohada de plumas.
619,El proceso de check-in fue totalmente prolongado e innecesario.
620,"Se proporcionó agua: 2 botellas de 330 ml a la llegada y no se repusieron. Tuve que comprar agua (solo botellas de 330 ml) en recepción por 1,50... parece mucho cuando pagas mucho por la habitación y te quedas 7 noches."
621,el baño no tiene puerta
622,olor en el dormitorio
623,"¡Nos cambiamos de habitación cuando una pequeña cucaracha nos saludó en la primera! Le vendría bien una cómoda zona de estar en el bar de la planta baja como alternativa al bar de la azotea. A pesar de registrarnos en línea de antemano, todavía tuvimos que registrarnos nuevamente. el servicio de limpieza estaba bien... las camas estaban hechas, las toallas dobladas pero el café, etc., no siempre se reemplazaban, las puertas de los armarios no estaban cerradas, etc. Esperaba un poco más por el precio de una suite junior."
624,ascensores - larga espera
625,"Fuimos a un gran evento deportivo. Era temprano, así que preguntamos si se anticiparía el desayuno, ya que muchos huéspedes del hotel asistirían a este evento. No estaba previsto, pero nos dijeron que una anfitriona no muy contenta de la recepción del hotel nos proporcionaría cajas de desayuno. la caja del desayuno era un sándwich de queso y jamón, una botella pequeña de agua, una mandarina vieja y una bolsa de oreos rotas. Planeo asistir nuevamente al Ironman el próximo año en Valencia, pero Barceló probablemente no será mi elección debido a esto."
626,nada
627,No hay quejas.
628,"No hay cubrecama en la cama, no hay suficientes toallas y la gente corre y hace ruido a las 5 am."
629,"La cama parecía que no estaba ni siquiera a 100. no fue un problema, simplemente no fue perfecto:"
630,"algo de ruido de la calle, pero teníamos una habitación que daba a la calle, así que no fue una sorpresa y no fue demasiado molesto."
631,"Honestamente, este lugar fue realmente genial por el dinero que pagamos. Me gustaría que el aire acondicionado pudiera estar a la temperatura que desees en cualquier época del año, pero aprecio que esta no sea la convención en España. Llevo mi propio ventilador para solucionar esto en invierno, ya que de lo contrario puede hacer demasiado calor en la habitación mientras duermo. La piscina en la terraza de la azotea estaba cerrada en ese momento. Esto estaba señalizado con anticipación. Hubiera sido bueno si pudieran haber abierto la terraza del bar a los huéspedes del hotel durante el día, incluso un área pequeña para poder disfrutar del sol en la terraza de la azotea."
632,"Se oía algo de ruido en las habitaciones de arriba a altas horas de la madrugada. Problemas menores que se resolvieron satisfactoriamente, la temperatura del agua en la ducha no era estable,"
633,- El aparcamiento en el hotel es demasiado caro. - El baño es muy antiguo y necesita una renovación.
634,el aire acondicionado no funcionó todo el tiempo
636,No es conveniente para recoger o dejar y está lejos del centro turístico del centro.
638,"Más tarde, al hablar con los lugareños, me di cuenta de que este hotel era algo elegante, especialmente el bar de la azotea, donde se tiene una hermosa vista de la parte científica de la ciudad. En realidad, se parece más a un jardín de infantes, lo que decimos en Alemania, o a una guardería, supongo, en inglés, o a un dormitorio de secundaria, lleno de aspirantes a estudiantes holandeses ricos de veintitantos años con o sin sus padres, ocupando la piscina de la azotea, con los chicos yendo juntos en ropa interior y pantalones cortos a la piscina, mostrando el borde de la ropa interior donde está escrito hugo boss o ck. la piscina, probablemente mide 5x2 m, pareciendo una bañera más grande, donde solo pueden entrar 6 personas y en total 16 en la azotea donde se encuentra la piscina. Está prohibido traer bebidas y comida del exterior, lo cual está bien de entender, pero también lo más interesante es que no hay agua fría en todas partes del hotel, sin importar si quieres beberla o ducharte con ella. Supongo que el hotel hizo que saliera agua tibia en todas partes para que los huéspedes pudieran comprar más bebidas. Al principio había un dispensador de agua en el gimnasio, donde la gente llenaba sus botellas con agua fría, pero después de unos días el dispensador de agua fue retirado del hotel. Las bebidas en el bar de la azotea me parecen un poco caras en general para Valencia o España, pero bueno, tienes que pagar por la vista y las fotos que tomas para poner en Instagram. Supongo que la reserva, para los que no son huéspedes del hotel, lo cual es imprescindible, porque de lo contrario no los dejan subir, vale la pena el dinero y todo ese disfraz solo para ir al Barceló, lo cual es un poco gracioso, considerando el ambiente de pueblo pequeño de Valencia. He visto que yo, como persona gay con algunas otras personas, definitivamente no me sentía cómodo rodeado de tanta gente str8, en su mayoría parejas, y también se podía sentir que de alguna manera no era tan amigable para los homosexuales por parte del hotel o tal vez este era mi sentimiento, pero estoy bastante seguro de que no estaba equivocado."
641,"No me gustó la forma en que estaban separadas la bañera y la habitación, puede resultar incómodo cuando viajas con amigos de diferentes géneros. El piso del baño no estaba lo suficientemente limpio. Hubo otro problema que me llevó a recibir una gran factura de teléfono, porque tuve que llamar a España y al hotel varias veces porque me cobraron dos veces y tuve que proteger mi tarjeta e ir al banco para detener la segunda transacción."
642,"La habitación necesitaría pequeñas reformas en las juntas cerca de la televisión, cambio de las juntas del suelo cerca de los baños."
643,"El café y el agua en la habitación solo a la llegada estaban bien, pero ¿por qué no volver a llenar el café?"
645,"La cama era demasiado sensible. Cada vez que alguno de nosotros se daba la vuelta o se sacudía un poco, se producía un mini terremoto que provocaba dificultades para dormir."
646,"Algunos aspectos básicos podrían haberse mejorado. El baño del restaurante en la planta baja se quedó sin papel higiénico dos veces. En invierno, el aire acondicionado es solo un calentador, por lo que debes tener la ventana abierta, esto está bien, pero hay una cortina transparente y las luces en un pasillo frente a la habitación dentro del hotel se encendieron y apagaron durante toda la noche durante tres noches. Lo ideal es que hagan una cortina más gruesa que puedas usar con la ventana abierta y apagues las luces de enfrente. La señora que nos atendió por la mañana fue brillante, pero cuando una señora con cabello muy rubio nos entregó la llave por la tarde fue increíblemente grosera, claramente estaba muy distraída y seguía mirando hacia otro lado mientras estábamos allí esperando una cantidad excepcional de tiempo para que ella nos entregara las llaves. Creo que hubo un problema ya que recibimos notas sobre nuestra partida más de un día antes de nuestra salida y luego nuestras tarjetas de acceso no funcionaron al día siguiente, por lo que hubo un pequeño problema con las fechas. En general, la estancia fue buena, pero en algunos casos el personal administrativo fue frustrante."
647,ruido exterior. Las ventanas estaban cerradas pero el ruido del tráfico era incómodo. Necesita insonorización.
648,"El ascensor fue bastante lento. La habitación tenía un baño abierto que no es ideal. ¿Por qué quieres escuchar a alguien en el baño? si se enciende una luz, inunda el dormitorio. Le vendría bien una papelera en la habitación y no solo en el baño. La ubicación requiere un taxi relativamente asequible para moverse en el calor abrasador."
649,"la cama era muy blanda para mí, tuve dolor de espalda después de algunas noches y desafortunadamente, aunque tenía ventanas para andar por ahí, era muy molesto si querías abrir una ventana y no usar el aire acondicionado."
650,Algunas instalaciones de la habitación parecen estar un poco gastadas.
651,El agua y la prensa deben incluirse en el precio de la habitación.
652,"Habíamos reservado este hotel dado que tenía una piscina en la azotea, sin embargo, no fue hasta que llegamos a la azotea que nos avisaron que la piscina no estaba abierta durante nuestra estancia. Hubiera sido bueno que me lo hubieran dicho de antemano. El aire acondicionado de nuestra habitación tuvo un error durante nuestra estancia. el vestíbulo de la planta baja necesita más enchufes para que los huéspedes carguen sus electrodomésticos."
653,Han hecho algo para manipular el funcionamiento del aire acondicionado. Se apaga automáticamente y no mantiene la temperatura de la habitación. Creo que hacen esto para ahorrar dinero y creó un escenario muy incómodo para mí y para los demás con los que estaba y que estaban en otras habitaciones. No puede ser solo una habitación ya que todos experimentamos el mismo problema.
654,"¡Hay ventanas muy sucias! ¿Por qué necesitas una habitación con buena vista si no puedes ver nada a través del cristal? la ventana no estaba bien cerrada y el tráfico en la calle era muy ruidoso. No había albornoz, ni zapatillas, ni cucharas para zapatos. Sólo se proporcionó agua potable el primer día. El hotel requiere reformas en las instalaciones. Las fotos promocionales no se corresponden con la realidad. Vestíbulo muy pequeño, no hay bar."
655,El miembro del personal de check-in no fue acogedor y las tarjetas de habitación no funcionaron.
656,"No me gustó que encontráramos a un hombre usando nuestra puerta de comunicación para secar su toalla. estaba completamente abierto. Tuvimos que perder el tiempo para solucionarlo. No me gustó que tuvieran que llamar al encargado de mantenimiento y tuvimos que esperar a que pusiera pilas nuevas en la caja fuerte. No me gustó que, después de un total de seis noches para nuestro grupo, no se nos permitiera hacer un check out tardío en nuestras tres habitaciones para ducharnos después de competir en Ironman. No creo que el hotel estuviera lleno el domingo 21 de abril."
657,"Habitaciones cansadas, la temperatura de la ducha subía y bajaba, puntos de tropiezo y raspaduras en los tobillos, trampas para los dedos en el armario. Las habitaciones eran grandes pero estaban mal diseñadas. Levante los tiempos de espera en las horas pico y por las noches no es genial."
658,Cobrar por una bata de baño es algo que hago por primera vez en mi vida.
659,"La ducha pasaba de caliente a fría cada 10 segundos, lo cual era muy molesto."
660,"Mi habitación tenía una vista espectacular de la ciudad de las artes y las ciencias, pero al estar orientada hacia el frente, era un poco ruidosa debido al tráfico. pero ésta es realmente una pequeña queja; Es poco probable que moleste a la mayoría de la gente. La única otra irritación fue cuando subí al bar de la azotea, donde las vistas son impresionantes. ¡Nadie vino a atenderme, lo cual fue una pena!"
